169
Feature_ID,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,EquivalentDiameters,EulerAngles_0,EulerAngles_1,EulerAngles_2,FPhases,NumCells,NumNeighbors,SurfaceFeatures,Volumes
73,-0.756411,0.194087,0.0207171,-0.624294,21.0532,5.99884,1.79226,0.217998,1,4886,6,1,4886
74,-0.508958,-0.198907,-0.250164,-0.799259,18.5958,0.675896,1.15623,6.21396,1,3367,11,1,3367
75,0.63459,-0.0117318,-0.203057,0.745604,17.0671,5.99881,1.37524,6.03578,1,2603,10,1,2603
76,-0.810999,0.369479,-0.0989874,-0.442682,16.9681,6.07569,2.19996,0.647478,1,2558,14,1,2558
77,-0.660022,-0.231058,0.0813793,-0.710183,18.3854,0.222651,1.54883,5.83235,1,3254,14,1,3254
78,-0.525975,-0.230176,-0.0398547,-0.81779,19.5361,0.461205,1.22309,5.91937,1,3904,18,1,3904
79,-0.520292,0.253078,0.0809285,-0.811603,17.9633,5.73108,1.23397,0.353335,1,3035,15,1,3035
80,-0.693079,-0.34965,-0.0999024,-0.622419,19.9156,0.626381,1.77749,5.9751,1,4136,10,1,4136
81,0.786082,-0.132147,0.280752,0.534594,16.9902,0.317028,1.84499,0.65013,1,2568,15,1,2568
82,0.529518,0.168342,0.339394,0.759001,18.9958,0.728299,1.17825,0.112679,1,3589,15,1,3589
83,0.68565,-0.102615,0.252091,0.675133,18.2085,0.208804,1.53208,0.50592,1,3161,10,1,3161
84,0.676859,-0.717013,0.133356,-0.099847,5.49761,1.39928,2.80685,3.02768,2,87,4,1,87
85,0.601609,-0.223623,0.320611,0.696612,6.03346,3.01953,2.40291,5.10979,2,115,3,0,115
86,-0.46613,0.42757,-0.482847,-0.605612,6.03346,6.14045,2.48551,1.66833,2,115,2,0,115
87,0.467955,-0.806657,-0.287884,-0.21782,6.6932,2.1965,2.57211,4.00492,2,157,5,0,157
88,0.804047,-0.483788,0.0713465,-0.338183,4.98852,2.39201,2.43578,3.47533,2,65,2,1,65
